Date,Tmean,Tmax,Tmin,RHmean,RHmax,RHmin,Pmean,Rn,Rl,G,PAR,ETcat,ET0pm,ET0cat,U2max,U2mean,U2dir,Rain,Insolation
31-12-1999,26.7,33.2,20.2,75.3,,,97.4,20.8,13.8,0.0,,7.2,4.7,5.8,,1.5,,9.9,6.5
01-01-2000,27.1,33.7,20.5,60.8,,,97.4,23.4,14.8,0.0,,5.8,4.9,4.1,,0.9,,0.3,8.0
02-01-2000,26.1,31.2,21.0,76.1,,,97.4,17.0,11.5,0.0,,7.7,6.8,5.4,,2.1,,30.4,3.0
03-01-2000,23.5,28.7,18.3,71.7,,,97.4,14.5,9.8,0.0,,5.9,6.3,4.1,,2.1,,24.3,1.0
04-01-2000,25.9,31.7,20.0,74.1,,,97.4,25.3,16.3,0.0,,8.2,5.8,6.5,,1.3,,0.0,9.5
05-01-2000,26.8,32.7,20.8,77.1,,,97.4,23.4,15.4,0.0,,8.3,7.0,6.7,,2.0,,0.0,8.0
06-01-2000,26.1,31.7,20.4,79.0,,,97.4,20.9,13.8,0.0,,6.4,6.7,5.1,,1.9,,0.0,6.0
07-01-2000,25.4,30.7,20.0,81.1,,,97.4,18.3,12.3,0.0,,7.0,5.5,5.6,,1.4,,3.0,4.0
08-01-2000,25.0,30.7,19.2,82.2,,,97.4,17.7,11.9,0.0,,4.7,5.9,3.8,,1.6,,12.2,3.5
09-01-2000,25.7,32.2,19.2,70.5,,,97.4,26.6,16.8,0.0,,7.5,6.4,6.0,,1.6,,0.0,10.5
10-01-2000,26.8,33.6,20.0,50.9,,,97.4,27.5,16.4,0.0,,8.0,6.6,5.6,,1.6,,0.0,11.2
11-01-2000,27.2,34.4,20.0,53.7,,,97.4,27.2,16.5,0.0,,7.6,5.8,5.3,,1.2,,0.0,11.0
12-01-2000,27.8,34.2,21.4,69.2,,,97.4,20.8,13.7,0.0,,8.6,5.9,6.3,,1.4,,0.0,6.0
13-01-2000,27.2,34.2,20.2,65.2,,,97.4,27.2,17.2,0.0,,5.3,5.2,3.2,,0.9,,0.0,11.0
14-01-2000,27.3,34.2,20.3,62.3,,,97.4,26.6,16.6,0.0,,6.4,5.1,4.4,,0.9,,1.9,10.5
15-01-2000,28.1,34.5,21.6,58.0,,,97.4,25.3,15.8,0.0,,7.1,5.3,4.9,,1.0,,1.2,9.5
16-01-2000,29.4,36.1,22.6,49.2,,,97.4,26.3,16.0,0.0,,13.5,7.2,9.4,,1.8,,0.0,10.3
